id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	dat
hívs328w3	2	0	hív	0+hív	ind	-	-	0	1
hívs329w2	1	0	hív	0+hív	ind	-	-	1	0
hívs330w4	2	0	hív	0+hív	ind	-	-	0	1
hívs332w3	2	0	hív	0+hív	ind	-	-	0	1
hívs334w4	2	0	hív	0+hív	ind	-	-	0	1
hívs335w8	1	0	hív	0+hív	ind	-	-	0	0
hívs336w3	2	0	hív	0+hív	ind	-	-	0	1
hívs337w3	2	0	hív	0+hív	ind	-	-	0	1
hívs338w3	1	0	hív	0+hív	ind	-	-	1	0
hívs340w7	1	0	hív	0+hív	ind	-	-	1	0
hívs342w2	1	0	hív	0+hív	ind	-	-	1	0
hívs346w3	2	0	hív	0+hív	ind	-	-	0	1
hívs347w4	1	0	hív	0+hív	ind	-	-	0	0
hívs349w2	2	0	hív	0+hív	ind	-	-	0	1
hívs350w6	2	0	hív	0+hív	ind	-	-	0	1
hívs353w3	2	0	hív	0+hív	ind	-	-	0	1
hívs354w5	2	0	hív	0+hív	ind	-	-	0	1
hívs356w4	1	0	hív	0+hív	ind	-	-	1	0
hívs357w3	2	0	hív	0+hív	ind	-	-	0	1
hívs358w6	1	0	hív	0+hív	ind	-	-	0	0
hívs359w10	2	0	hív	0+hív	ind	-	-	1	1
hívs360w2	1	0	hív	0+hív	ind	-	-	1	0
hívs361w3	2	0	hív	0+hív	ind	-	-	0	1
hívs363w2	1	0	hív	0+hív	ind	-	-	1	0
hívs366w9	2	0	hív	0+hív	ind	-	-	1	1
hívs368w7	2	0	hív	0+hív	ind	-	-	0	1
hívs369w7	2	0	hív	0+hív	ind	-	-	1	1
hívs370w3	2	0	hív	0+hív	ind	-	-	0	1
hívs372w2	1	0	hív	0+hív	ind	-	-	1	0
hívs373w3	1	0	hív	0+hív	ind	-	-	1	0
hívs374w5	1	0	hív	0+hív	ind	-	-	1	0
hívs375w6	2	0	hív	0+hív	ind	-	-	0	1
hívs376w5	2	0	hív	0+hív	ind	-	-	0	1
hívs380w3	2	0	hív	0+hív	ind	-	-	0	0
hívs381w4	1	0	hív	0+hív	ind	-	-	1	0
hívs382w2	1	0	hív	0+hív	ind	-	-	1	0
hívs385w2	2	0	hív	0+hív	ind	-	-	0	1
hívs386w7	1	0	hív	0+hív	ind	-	-	1	0
hívs387w11	2	0	hív	0+hív	ind	-	-	1	1
hívs388w8	2	0	hív	0+hív	ind	-	-	1	1
hívs389w12	2	0	hív	0+hív	ind	-	-	0	0
hívs391w9	1	0	hív	0+hív	ind	-	-	1	0
hívs392w2	2	0	hív	0+hív	ind	-	-	0	1
hívs393w2	2	0	hív	0+hív	ind	-	-	1	1
hívs394w2	2	0	hív	0+hív	ind	-	-	1	1
hívs395w2	2	0	hív	0+hív	ind	-	-	0	1
hívs396w2	2	0	hív	0+hív	ind	-	-	0	1
hívs397w2	2	0	hív	0+hív	ind	-	-	0	1
hívs400w2	1	0	hív	0+hív	ind	-	-	1	0
hívs401w3	2	0	hív	0+hív	ind	-	-	1	1
hívs402w4	2	0	hív	0+hív	ind	-	-	0	1
hívs404w9	2	0	hív	0+hív	ind	-	-	1	1
hívs405w7	2	0	hív	0+hív	ind	-	-	1	1
hívs406w8	2	0	hív	0+hív	ind	-	-	1	1
hívs407w9	2	0	hív	0+hív	ind	-	-	1	1
hívs408w4	2	0	hív	0+hív	ind	-	-	1	1
hívs409w7	2	0	hív	0+hív	ind	-	-	1	1
hívs410w6	2	0	hív	0+hív	ind	-	-	1	1
hívs411w9	2	0	hív	0+hív	ind	-	-	1	1
hívs412w4	2	0	hív	0+hív	ind	-	-	1	1
hívs413w10	2	0	hív	0+hív	ind	-	-	1	1
hívs414w16	2	0	hív	0+hív	ind	-	-	1	0
hívs415w5	2	0	hív	0+hív	ind	-	-	0	1
hívs416w4	2	0	hív	0+hív	ind	-	-	0	1
hívs417w6	2	0	hív	0+hív	ind	-	-	1	1
hívs419w6	2	0	hív	0+hív	ind	-	-	1	1
hívs420w4	2	0	hív	0+hív	ind	-	-	1	1
hívs421w3	2	0	hív	0+hív	ind	-	-	0	1
hívs422w2	2	0	hív	0+hív	ind	-	-	0	1
hívs423w2	2	0	hív	0+hív	ind	-	-	0	1
hívs424w2	2	0	hív	0+hív	ind	-	-	0	1
hívs425w2	2	0	hív	0+hív	ind	-	-	0	1
hívs426w2	2	0	hív	0+hív	ind	-	-	0	1
hívs427w2	2	0	hív	0+hív	ind	-	-	0	1
hívs428w2	2	0	hív	0+hív	ind	-	-	0	1
hívs429w2	2	0	hív	0+hív	ind	-	-	0	1
hívs430w2	2	0	hív	0+hív	ind	-	-	0	1
hívs431w2	2	0	hív	0+hív	ind	-	-	0	1
hívs432w2	2	0	hív	0+hív	ind	-	-	0	1
hívs433w2	2	0	hív	0+hív	ind	-	-	0	1
hívs434w2	2	0	hív	0+hív	ind	-	-	0	1
hívs435w2	1	0	hív	0+hív	ind	-	-	0	0
hívs436w2	2	0	hív	0+hív	ind	-	-	0	1
hívs437w2	2	0	hív	0+hív	ind	-	-	0	1
hívs438w2	2	0	hív	0+hív	ind	-	-	0	1
hívs439w2	2	0	hív	0+hív	ind	-	-	0	1
hívs440w2	2	0	hív	0+hív	ind	-	-	0	1
hívs441w2	2	0	hív	0+hív	ind	-	-	0	1
hívs442w2	2	0	hív	0+hív	ind	-	-	0	1
hívs443w3	2	0	hív	0+hív	ind	-	-	0	1
hívs444w7	2	0	hív	0+hív	ind	-	-	0	1
hívs445w7	2	0	hív	0+hív	ind	-	-	0	1
hívs446w3	1	0	hív	0+hív	ind	-	-	0	0
hívs447w3	1	0	hív	0+hív	ind	-	-	0	0
hívs448w3	1	0	hív	0+hív	ind	-	-	0	0
hívs449w2	1	0	hív	0+hív	ind	-	-	1	0
hívs450w3	2	0	hív	0+hív	ind	-	-	0	1
hívs453w4	1	0	hív	0+hív	ind	-	-	1	0
hívs454w6	2	0	hív	0+hív	ind	-	-	0	1
hívs455w4	2	0	hív	0+hív	ind	-	-	1	1
hívs456w3	1	0	hív	0+hív	ind	-	-	1	0
hívs460w2	2	0	hív	0+hív	ind	-	-	0	1
hívs461w10	2	0	hív	0+hív	ind	-	-	1	1
hívs462w3	2	0	hív	0+hív	ind	-	-	1	1
hívs464w2	2	0	hív	0+hív	ind	-	-	0	1
hívs465w6	2	0	hív	0+hív	ind	-	-	0	1
hívs466w8	1	0	hív	0+hív	ind	-	-	1	0
hívs467w3	1	0	hív	0+hív	ind	-	-	1	0
hívs470w6	1	0	hív	0+hív	ind	-	-	1	0
hívs472w6	1	0	hív	0+hív	ind	-	-	1	0
hívs473w7	2	0	hív	0+hív	ind	-	-	0	1
hívs476w3	1	0	hív	0+hív	ind	-	-	1	0
hívs479w2	2	0	hív	0+hív	ind	-	-	0	1
hívs480w3	2	0	hív	0+hív	ind	-	-	0	1
hívs481w2	1	0	hív	0+hív	ind	-	-	1	0
hívs482w5	1	0	hív	0+hív	ind	-	-	1	1
hívs483w6	1	0	hív	0+hív	ind	-	-	1	0
hívs485w3	2	0	hív	0+hív	ind	-	-	1	1
hívs487w4	1	0	hív	0+hív	ind	-	-	0	0
hívs488w5	1	0	hív	0+hív	ind	-	-	1	0
hívs489w4	1	0	hív	0+hív	ind	-	-	1	0
hívs490w4	2	0	hív	0+hív	ind	-	-	0	1
hívs491w4	2	0	hív	0+hív	ind	-	-	0	1
hívs494w4	1	0	hív	0+hív	ind	-	-	1	0
hívs495w8	2	0	hív	0+hív	ind	-	-	0	1
hívs498w5	1	0	hív	0+hív	ind	-	-	1	0
hívs499w6	1	0	hív	0+hív	ind	-	-	1	0
hívs500w4	1	0	hív	0+hív	ind	-	-	1	0
hívs501w3	2	0	hív	0+hív	ind	-	-	0	1
hívs502w6	1	0	hív	0+hív	ind	-	-	1	0
hívs503w5	1	0	hív	0+hív	ind	-	-	1	0
hívs504w3	1	0	hív	0+hív	ind	-	-	1	0
hívs505w3	1	0	hív	0+hív	ind	-	-	0	0
hívs509w1	1	0	hív	0+hív	ind	-	-	0	0
hívs515w1	2	0	hív	0+hív	ind	-	-	0	1
hívs516w1	1	0	hív	0+hív	ind	-	-	0	0
hívs517w1	2	0	hív	0+hív	ind	-	-	0	1
hívs518w1	1	0	hív	0+hív	ind	-	-	0	0
hívs519w1	1	0	hív	0+hív	ind	-	-	1	0
hívs520w1	1	0	hív	0+hív	ind	-	-	1	0
hívs522w1	1	0	hív	0+hív	ind	-	-	1	0
hívs525w1	1	0	hív	0+hív	ind	-	-	1	0
hívs526w1	1	0	hív	0+hív	ind	-	-	0	0
hívs529w1	1	0	hív	0+hív	ind	-	-	1	0
hívs530w1	1	0	hív	0+hív	ind	-	-	1	0
hívs543w1	1	0	hív	0+hív	ind	-	-	1	0
hívs544w1	2	0	hív	0+hív	ind	-	-	0	1
hívs549w1	1	0	hív	0+hív	ind	-	-	0	0
hívs552w1	2	0	hív	0+hív	ind	-	-	0	1
hívs553w1	1	0	hív	0+hív	ind	-	-	0	0
hívs554w1	1	0	hív	0+hív	ind	-	-	1	0
hívs555w1	1	0	hív	0+hív	ind	-	-	1	0
hívs556w1	1	0	hív	0+hív	ind	-	-	1	0
hívs557w1	1	0	hív	0+hív	ind	-	-	1	0
hívs558w1	1	0	hív	0+hív	ind	-	-	1	0
hívs559w1	1	0	hív	0+hív	ind	-	-	0	0
hívs563w1	1	0	hív	0+hív	ind	-	-	1	0
hívs564w1	1	0	hív	0+hív	ind	-	-	1	0
hívs566w1	1	0	hív	0+hív	ind	-	-	1	0
hívs569w1	1	0	hív	0+hív	ind	-	-	0	0
hívs570w1	2	0	hív	0+hív	ind	-	-	0	1
hívs573w1	1	0	hív	0+hív	ind	-	-	1	0
hívs575w1	1	0	hív	0+hív	ind	-	-	1	0
hívs576w4	1	0	hív	0+hív	ind	-	-	0	0
hívs577w3	2	0	hív	0+hív	ind	-	-	1	1
hívs580w2	1	0	hív	0+hív	ind	-	-	1	0
hívs581w2	1	0	hív	0+hív	ind	-	-	0	0
hívs582w2	1	0	hív	0+hív	ind	-	-	1	0
hívs583w2	1	0	hív	0+hív	ind	-	-	1	0
hívs584w2	1	0	hív	0+hív	ind	-	-	1	0
hívs585w2	1	0	hív	0+hív	ind	-	-	1	0
hívs586w2	1	0	hív	0+hív	ind	-	-	1	0
hívs587w2	1	0	hív	0+hív	ind	-	-	1	0
hívs588w2	1	0	hív	0+hív	ind	-	-	1	0
hívs589w2	1	0	hív	0+hív	ind	-	-	1	0
hívs590w2	1	0	hív	0+hív	ind	-	-	1	0
hívs591w2	1	0	hív	0+hív	ind	-	-	1	0
hívs592w2	1	0	hív	0+hív	ind	-	-	0	0
hívs593w2	1	0	hív	0+hív	ind	-	-	1	0
hívs594w2	1	0	hív	0+hív	ind	-	-	1	0
hívs595w2	1	0	hív	0+hív	ind	-	-	0	0
hívs603w2	1	0	hív	0+hív	ind	-	-	1	0
hívs604w2	1	0	hív	0+hív	ind	-	-	1	0
hívs605w2	1	0	hív	0+hív	ind	-	-	1	0
hívs607w3	1	0	hív	0+hív	ind	-	-	0	0
hívs608w3	1	0	hív	0+hív	ind	-	-	1	0
hívs613w4	1	0	hív	0+hív	ind	-	-	0	0
hívs614w2	1	0	hív	0+hív	ind	-	-	1	0
hívs616w2	2	0	hív	0+hív	ind	-	-	0	1
hívs617w2	2	0	hív	0+hív	ind	-	-	0	1
hívs619w2	2	0	hív	0+hív	ind	-	-	0	1
hívs620w7	1	0	hív	0+hív	ind	-	-	1	0
hívs626w4	1	0	hív	0+hív	ind	-	-	1	0
hívs627w2	2	0	hív	0+hív	ind	-	-	0	1
hívs629w5	2	0	hív	0+hív	ind	-	-	0	1
hívs630w2	1	0	hív	0+hív	ind	-	-	1	0
hívs631w2	1	0	hív	0+hív	ind	-	-	1	0
hívs632w2	2	0	hív	0+hív	ind	-	-	0	1
hívs633w3	2	0	hív	0+hív	ind	-	-	0	1
hívs634w9	2	0	hív	0+hív	ind	-	-	0	1
hívs636w6	1	0	hív	0+hív	ind	-	-	1	0
hívs637w3	2	0	hív	0+hív	ind	-	-	1	1
hívs638w4	1	0	hív	0+hív	ind	-	-	1	0
hívs639w3	2	0	hív	0+hív	ind	-	-	0	1
hívs640w2	2	0	hív	0+hív	ind	-	-	0	1
hívs641w2	2	0	hív	0+hív	ind	-	-	0	1
hívs642w3	2	0	hív	0+hív	ind	-	-	0	1
hívs643w11	2	0	hív	0+hív	ind	-	-	0	1
hívs644w3	2	0	hív	0+hív	ind	-	-	0	1
hívs647w6	2	0	hív	0+hív	ind	-	-	0	1
hívs648w4	2	0	hív	0+hív	ind	-	-	0	1
hívs649w2	2	0	hív	0+hív	ind	-	-	0	1
hívs650w2	2	0	hív	0+hív	ind	-	-	0	1
hívs656w3	2	0	hív	0+hív	ind	-	-	1	1
hívs657w3	1	0	hív	0+hív	ind	-	-	1	0
