Az 0+készül ige korpuszgyakorisági adatai
Az ige elõfordulási száma: 475
A variánsok elõfordulási száma és gyakorisága
1 variáns:	46	0.0968421052631579

2 variáns:	429	0.9031578947368422

Az argumentumtípusok elõfordulási számai és együttelõfordulási számai.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
sorcímke: A; oszlopcímke: B; cellatartalom: P(B|A)
	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
BAN	0.0	1.0	0.0	0.9863013698630136	0.0273972602739726	0.0	0.0	0.0	0.0
BÓL	0.0	0.0	1.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0
RA	0.0024449877750611247	0.17603911980440098	0.004889975550122249	1.0	0.10024449877750612	0.009779951100244499	0.004889975550122249	0.012224938875305624	0.004889975550122249
ON	0.022222222222222223	0.044444444444444446	0.0	0.9111111111111111	1.0	0.022222222222222223	0.0	0.022222222222222223	0.0
RÓL	0.0	0.0	0.0	1.0	0.25	1.0	0.0	0.0	0.0
HOZ	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
NÁL	0.0	0.0	0.0	1.0	0.2	0.0	0.0	1.0	0.0
TÓL	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
