id	argVar	pvform	lemma	pvv	mood	cau	pot	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
készüls339w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls340w18	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls343w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls344w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls345w6	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls347w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls348w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls350w12	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls356w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls358w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls360w15	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls362w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	1	0	0	0
készüls363w7	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls366w8	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls367w13	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls370w24	2	0	készül	0+készül	ind	-	-	0	0	0	0	1	0	0	0	0
készüls371w14	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls373w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls374w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	1
készüls375w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls377w15	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls384w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls385w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls390w7	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls391w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls392w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls393w5	1	0	készül	0+készül	ind	-	-	0	1	1	0	0	0	0	0	0
készüls395w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls396w19	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls397w12	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls399w15	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	1	0	0
készüls403w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls404w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls406w17	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls409w14	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls410w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls412w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls413w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls414w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls415w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls416w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls419w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls420w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls421w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls423w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls425w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls426w25	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls427w25	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls428w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls430w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls431w15	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls432w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls434w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls435w7	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls436w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls437w10	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls438w15	1	0	készül	0+készül	ind	-	-	0	1	1	0	0	0	0	0	0
készüls440w5	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls442w24	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls444w7	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls446w17	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls447w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls452w10	2	0	készül	0+készül	ind	-	-	0	1	0	1	1	0	0	0	0
készüls453w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls456w10	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls460w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls466w2	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls467w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls468w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls469w11	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls470w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls471w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls472w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls473w10	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls474w14	2	0	készül	0+készül	ind	-	-	0	1	0	1	1	0	0	0	0
készüls475w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls479w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls480w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls482w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls485w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls486w15	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls487w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls488w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls494w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls498w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls499w20	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls503w4	1	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls504w7	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls507w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls508w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls515w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls516w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls517w5	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls518w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls519w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls520w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	1	0
készüls521w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls525w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls526w13	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls527w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls528w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls529w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls533w3	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls534w3	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls535w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls538w2	2	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls539w2	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls545w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls546w19	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls547w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls549w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls550w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls553w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls562w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls566w12	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls569w13	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls571w4	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls572w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls574w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls578w5	2	0	készül	0+készül	ind	-	-	1	0	0	1	1	0	0	0	0
készüls579w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls584w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls586w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls587w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls589w10	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls593w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls596w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls597w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls598w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls599w6	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls600w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls603w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls604w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls605w26	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls606w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls610w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls613w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls614w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls616w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls618w5	1	0	készül	0+készül	ind	-	-	0	0	1	0	1	0	0	0	0
készüls619w3	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls623w3	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls625w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls627w6	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls629w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls630w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls633w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls634w2	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls635w2	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls637w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls638w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
