id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	VAL	BA
bevons331w13	2	be	von	be+von	ind	-	-	1	0	1
bevons335w9	1	be	von	be+von	ind	-	-	1	1	0
bevons339w11	2	be	von	be+von	ind	-	-	1	0	1
bevons343w7	2	be	von	be+von	ind	-	-	1	0	1
bevons344w6	2	be	von	be+von	ind	-	-	1	0	0
bevons346w8	1	be	von	be+von	ind	-	-	1	1	0
bevons347w17	2	be	von	be+von	ind	-	-	1	0	1
bevons348w5	2	be	von	be+von	ind	-	-	1	0	1
bevons349w23	2	be	von	be+von	ind	-	-	1	0	1
bevons351w18	2	be	von	be+von	ind	-	-	1	0	1
bevons357w11	2	be	von	be+von	ind	-	-	1	0	1
bevons359w1	2	be	von	be+von	ind	-	-	1	0	1
bevons360w1	2	be	von	be+von	ind	-	-	1	0	1
bevons365w1	2	be	von	be+von	ind	-	-	1	0	1
bevons369w6	2	be	von	be+von	ind	-	-	1	1	1
bevons371w3	2	be	von	be+von	ind	-	-	1	0	1
bevons373w11	2	be	von	be+von	ind	-	-	1	0	1
bevons374w2	2	be	von	be+von	ind	-	-	1	0	1
bevons379w8	2	be	von	be+von	ind	-	-	0	0	1
bevons380w5	2	be	von	be+von	ind	-	-	1	0	1
bevons381w19	2	be	von	be+von	ind	-	-	0	0	1
bevons382w6	2	be	von	be+von	ind	-	-	1	0	1
bevons385w6	2	be	von	be+von	ind	-	-	1	0	1
bevons398w4	2	be	von	be+von	ind	-	-	1	0	1
bevons400w9	2	be	von	be+von	ind	-	-	1	0	1
bevons403w4	2	be	von	be+von	ind	-	-	1	0	1
bevons405w15	2	be	von	be+von	ind	-	-	1	0	1
bevons407w6	2	be	von	be+von	ind	-	-	1	0	0
bevons408w6	2	be	von	be+von	ind	-	-	1	0	0
bevons410w2	2	be	von	be+von	ind	-	-	0	0	0
bevons411w13	1	be	von	be+von	ind	-	-	1	1	0
bevons412w7	2	be	von	be+von	ind	-	-	1	0	1
bevons413w6	2	be	von	be+von	ind	-	-	1	0	1
bevons416w8	2	be	von	be+von	ind	-	-	1	0	0
bevons417w6	2	be	von	be+von	ind	-	-	1	0	1
bevons420w8	2	be	von	be+von	ind	-	-	1	0	1
bevons426w11	2	be	von	be+von	ind	-	-	0	0	1
bevons432w4	2	be	von	be+von	ind	-	-	0	0	1
bevons437w6	2	be	von	be+von	ind	-	-	1	0	1
bevons443w21	2	be	von	be+von	ind	-	-	1	0	1
bevons444w4	2	be	von	be+von	ind	-	-	0	0	1
bevons447w5	2	be	von	be+von	ind	-	-	0	1	1
bevons451w7	2	be	von	be+von	ind	-	-	0	0	1
bevons452w3	2	be	von	be+von	ind	-	-	1	0	1
bevons454w4	1	be	von	be+von	ind	-	-	1	1	0
bevons455w4	2	be	von	be+von	ind	-	-	1	0	0
bevons457w4	2	be	von	be+von	ind	-	-	0	0	1
bevons460w6	2	be	von	be+von	ind	-	-	1	0	1
bevons461w6	2	be	von	be+von	ind	-	-	1	0	1
bevons462w20	1	be	von	be+von	ind	-	-	1	1	0
bevons464w8	1	be	von	be+von	ind	-	-	1	1	0
bevons465w10	2	be	von	be+von	ind	-	-	1	0	1
bevons467w9	2	be	von	be+von	ind	-	-	1	0	1
bevons470w7	2	be	von	be+von	ind	-	-	1	0	1
bevons476w11	1	be	von	be+von	ind	-	-	1	1	0
bevons483w15	2	be	von	be+von	ind	-	-	1	0	1
bevons484w2	1	be	von	be+von	ind	-	-	1	1	0
bevons485w9	2	be	von	be+von	ind	-	-	1	0	1
bevons489w8	1	be	von	be+von	ind	-	-	1	0	0
bevons490w7	2	be	von	be+von	ind	-	-	1	0	1
bevons497w9	2	be	von	be+von	ind	-	-	1	0	1
bevons499w16	2	be	von	be+von	ind	-	-	1	0	1
bevons507w7	2	be	von	be+von	ind	-	-	1	0	1
bevons508w19	2	be	von	be+von	ind	-	-	1	0	1
bevons509w5	2	be	von	be+von	ind	-	-	0	0	1
bevons511w3	2	be	von	be+von	ind	-	-	1	0	1
bevons514w13	2	be	von	be+von	ind	-	-	1	0	1
bevons516w2	2	be	von	be+von	ind	-	-	1	0	1
bevons517w3	2	be	von	be+von	ind	-	-	1	0	1
bevons518w6	1	be	von	be+von	ind	-	-	1	1	0
bevons519w2	2	be	von	be+von	ind	-	-	0	0	1
bevons520w8	2	be	von	be+von	ind	-	-	1	0	1
bevons521w10	2	be	von	be+von	ind	-	-	1	0	1
bevons525w6	1	be	von	be+von	ind	-	-	1	1	0
bevons527w9	2	be	von	be+von	ind	-	-	1	0	1
bevons531w2	2	be	von	be+von	ind	-	-	1	0	1
bevons532w17	2	be	von	be+von	ind	-	-	1	0	1
bevons536w5	2	be	von	be+von	ind	-	-	1	0	1
bevons537w8	2	be	von	be+von	ind	-	-	1	0	1
bevons538w22	2	be	von	be+von	ind	-	-	1	1	1
bevons540w3	2	be	von	be+von	ind	-	-	1	0	1
bevons542w5	2	be	von	be+von	ind	-	-	1	0	1
bevons546w12	2	be	von	be+von	ind	-	-	1	0	0
bevons549w7	2	be	von	be+von	ind	-	-	1	0	1
bevons551w12	2	be	von	be+von	ind	-	-	1	0	1
bevons552w3	2	be	von	be+von	ind	-	-	1	0	1
bevons555w9	1	be	von	be+von	ind	-	-	1	1	0
bevons558w18	1	be	von	be+von	ind	-	-	1	1	0
bevons560w2	2	be	von	be+von	ind	-	-	1	0	0
bevons561w2	2	be	von	be+von	ind	-	-	0	0	1
bevons562w13	1	be	von	be+von	ind	-	-	1	1	0
bevons564w16	2	be	von	be+von	ind	-	-	1	0	1
bevons565w3	2	be	von	be+von	ind	-	-	1	0	1
bevons566w9	1	be	von	be+von	ind	-	-	1	1	1
bevons567w2	2	be	von	be+von	ind	-	-	1	0	1
bevons568w7	2	be	von	be+von	ind	-	-	1	0	1
bevons569w15	1	be	von	be+von	ind	-	-	1	1	0
bevons570w8	2	be	von	be+von	ind	-	-	0	0	1
bevons580w7	2	be	von	be+von	ind	-	-	1	0	1
bevons582w3	2	be	von	be+von	ind	-	-	0	0	1
bevons583w9	2	be	von	be+von	ind	-	-	1	0	1
